sim_time,completed_av_count,avg_travel_time,avg_wait_time,avg_delay,avg_edge_occupancy
0,0,0.0,0.0,0.0,1e-06
720,7,270.857,0.0,270.857,0.000748
1440,65,396.169,8.738,204.674,0.001162
2160,136,409.985,10.971,219.892,0.00151
2880,196,437.617,12.383,234.175,0.001956
3600,248,473.052,13.613,251.61,0.002371
4320,292,513.798,14.551,276.98,0.002981
5040,319,522.931,14.793,274.738,0.003262
5760,353,529.581,15.408,283.364,0.003629
6480,377,515.459,14.947,277.152,0.004141
7200,397,510.504,14.637,275.444,0.004372
7920,424,512.04,15.073,275.724,0.004923
8640,449,539.655,15.488,299.536,0.005267
9360,468,549.209,15.521,309.184,0.005788
10080,487,552.423,15.349,310.98,0.006111
10800,501,547.186,15.269,307.913,0.006499
11520,511,543.808,15.07,304.739,0.007113
12240,531,549.394,15.139,310.692,0.007423
12960,545,564.868,15.624,321.474,0.007761
13680,559,583.222,15.581,336.189,0.008076
14400,569,582.511,15.656,336.126,0.008387
15120,577,583.958,15.693,335.722,0.00926
15840,585,581.038,15.733,334.614,0.009874
16560,594,582.178,15.825,335.888,0.010059
17280,600,581.247,15.955,334.712,0.010605
18000,614,582.101,16.067,334.417,0.011094
18720,620,580.816,16.019,333.115,0.012008
19440,625,581.442,16.131,332.875,0.012752
20160,628,580.008,16.054,331.869,0.013375
20880,630,580.03,16.019,331.968,0.014012
21600,630,580.03,16.019,331.968,0.014813
22320,632,578.815,15.968,331.538,0.015889
23040,633,577.93,15.943,331.044,0.016788
23760,637,576.994,15.843,330.612,0.017373
24480,639,577.005,15.793,329.993,0.01821
25200,643,578.656,15.748,329.152,0.01919
25920,644,577.907,15.731,328.682,0.020117
26640,646,577.444,15.683,328.051,0.021392
27360,649,575.809,15.61,327.094,0.022681
28080,651,575.696,15.637,326.279,0.023695
28800,653,574.472,15.715,325.692,0.024695
29520,655,573.426,15.669,324.85,0.026206
30240,658,573.792,15.69,324.307,0.027484
30960,658,573.792,15.69,324.307,0.028681
31680,659,579.853,15.707,329.727,0.029738
32400,661,586.995,15.726,335.631,0.03097
33120,663,587.208,15.744,335.321,0.031916
33840,664,586.982,15.72,335.474,0.03277
34560,665,586.296,15.696,335.166,0.033759
35280,666,597.931,15.737,345.08,0.034697
36000,666,597.931,15.737,345.08,0.035639
36720,668,597.892,15.775,344.638,0.036345
37440,669,597.136,15.755,344.133,0.037363
38160,670,596.6,15.731,343.975,0.038182
38880,670,596.6,15.731,343.975,0.038917
39600,671,612.65,15.715,359.855,0.039709
40320,672,612.345,15.692,359.927,0.039633
41040,673,612.079,15.669,360.036,0.039706
41760,674,611.478,15.728,359.626,0.039894
42480,676,610.648,15.686,358.828,0.040162
43200,676,610.648,15.686,358.828,0.040324
